,y,Value
377,y378,"tf.Tensor(0.057211599353063004, shape=(), dtype=float64)"
378,y379,"tf.Tensor(0.05826842638253406, shape=(), dtype=float64)"
379,y380,"tf.Tensor(0.05717455782266036, shape=(), dtype=float64)"
380,y381,"tf.Tensor(0.05596417899268731, shape=(), dtype=float64)"
381,y382,"tf.Tensor(0.0563196536797972, shape=(), dtype=float64)"
382,y383,"tf.Tensor(0.05609969884911391, shape=(), dtype=float64)"
383,y384,"tf.Tensor(0.058094044751175564, shape=(), dtype=float64)"
384,y385,"tf.Tensor(0.05814780254851626, shape=(), dtype=float64)"
385,y386,"tf.Tensor(0.05692816381342278, shape=(), dtype=float64)"
386,y387,"tf.Tensor(0.05591533623239317, shape=(), dtype=float64)"
387,y388,"tf.Tensor(0.05555673278404403, shape=(), dtype=float64)"
388,y389,"tf.Tensor(0.05637957186833059, shape=(), dtype=float64)"
389,y390,"tf.Tensor(0.05509165279445509, shape=(), dtype=float64)"
390,y391,"tf.Tensor(0.05528947413327052, shape=(), dtype=float64)"
391,y392,"tf.Tensor(0.05439763808852046, shape=(), dtype=float64)"
392,y393,"tf.Tensor(0.052744432930291046, shape=(), dtype=float64)"
393,y394,"tf.Tensor(0.05274045243040845, shape=(), dtype=float64)"
394,y395,"tf.Tensor(0.05198285847301135, shape=(), dtype=float64)"
395,y396,"tf.Tensor(0.05327396866466143, shape=(), dtype=float64)"
396,y397,"tf.Tensor(0.051706535436338706, shape=(), dtype=float64)"
397,y398,"tf.Tensor(0.050758424217172055, shape=(), dtype=float64)"
398,y399,"tf.Tensor(0.05101261443191062, shape=(), dtype=float64)"
399,y400,"tf.Tensor(0.050647090837442024, shape=(), dtype=float64)"
400,y401,"tf.Tensor(0.048007229086722045, shape=(), dtype=float64)"
401,y402,"tf.Tensor(0.04800364775512806, shape=(), dtype=float64)"
402,y403,"tf.Tensor(0.04972972059486593, shape=(), dtype=float64)"
403,y404,"tf.Tensor(0.047964147764066364, shape=(), dtype=float64)"
404,y405,"tf.Tensor(0.04851438171058306, shape=(), dtype=float64)"
405,y406,"tf.Tensor(0.04669246592785338, shape=(), dtype=float64)"
406,y407,"tf.Tensor(0.047064345839890866, shape=(), dtype=float64)"
407,y408,"tf.Tensor(0.04685838383845865, shape=(), dtype=float64)"
408,y409,"tf.Tensor(0.0446169770190316, shape=(), dtype=float64)"
409,y410,"tf.Tensor(0.044695445390003516, shape=(), dtype=float64)"
410,y411,"tf.Tensor(0.045011903781814355, shape=(), dtype=float64)"
411,y412,"tf.Tensor(0.0450005544072191, shape=(), dtype=float64)"
412,y413,"tf.Tensor(0.0449350452628096, shape=(), dtype=float64)"
413,y414,"tf.Tensor(0.04636167317151936, shape=(), dtype=float64)"
414,y415,"tf.Tensor(0.044042755063169056, shape=(), dtype=float64)"
415,y416,"tf.Tensor(0.04571706843985371, shape=(), dtype=float64)"
416,y417,"tf.Tensor(0.045978850439102395, shape=(), dtype=float64)"
417,y418,"tf.Tensor(0.046169445298092665, shape=(), dtype=float64)"
418,y419,"tf.Tensor(0.04787410840739004, shape=(), dtype=float64)"
419,y420,"tf.Tensor(0.04593478782701185, shape=(), dtype=float64)"
420,y421,"tf.Tensor(0.04759215189356891, shape=(), dtype=float64)"
421,y422,"tf.Tensor(0.04513292401433584, shape=(), dtype=float64)"
422,y423,"tf.Tensor(0.04568119926877444, shape=(), dtype=float64)"
423,y424,"tf.Tensor(0.045450321221343806, shape=(), dtype=float64)"
424,y425,"tf.Tensor(0.04690138798348209, shape=(), dtype=float64)"
425,y426,"tf.Tensor(0.04556388498802841, shape=(), dtype=float64)"
426,y427,"tf.Tensor(0.04369133843878807, shape=(), dtype=float64)"
427,y428,"tf.Tensor(0.048312238802678195, shape=(), dtype=float64)"
428,y429,"tf.Tensor(0.04699784292588183, shape=(), dtype=float64)"
429,y430,"tf.Tensor(0.045924481136062775, shape=(), dtype=float64)"
430,y431,"tf.Tensor(0.046883814054951206, shape=(), dtype=float64)"
431,y432,"tf.Tensor(0.049211392090184256, shape=(), dtype=float64)"
432,y433,"tf.Tensor(0.04700180622752084, shape=(), dtype=float64)"
433,y434,"tf.Tensor(0.04720067423173173, shape=(), dtype=float64)"
434,y435,"tf.Tensor(0.04858988745896195, shape=(), dtype=float64)"
435,y436,"tf.Tensor(0.048562307717952724, shape=(), dtype=float64)"
436,y437,"tf.Tensor(0.04657729566854303, shape=(), dtype=float64)"
437,y438,"tf.Tensor(0.05041968402052538, shape=(), dtype=float64)"
438,y439,"tf.Tensor(0.05008687030454917, shape=(), dtype=float64)"
439,y440,"tf.Tensor(0.05026213041803093, shape=(), dtype=float64)"
440,y441,"tf.Tensor(0.04716624129797475, shape=(), dtype=float64)"
441,y442,"tf.Tensor(0.050052243851667746, shape=(), dtype=float64)"
442,y443,"tf.Tensor(0.050885931201251136, shape=(), dtype=float64)"
443,y444,"tf.Tensor(0.05041726418148449, shape=(), dtype=float64)"
444,y445,"tf.Tensor(0.05080056010812331, shape=(), dtype=float64)"
445,y446,"tf.Tensor(0.05009167537146224, shape=(), dtype=float64)"
446,y447,"tf.Tensor(0.04933544448756798, shape=(), dtype=float64)"
447,y448,"tf.Tensor(0.0483425364435124, shape=(), dtype=float64)"
448,y449,"tf.Tensor(0.04551494030460404, shape=(), dtype=float64)"
449,y450,"tf.Tensor(0.04580590157076916, shape=(), dtype=float64)"
450,y451,"tf.Tensor(0.04698613662447326, shape=(), dtype=float64)"
451,y452,"tf.Tensor(0.04615348101014424, shape=(), dtype=float64)"
452,y453,"tf.Tensor(0.045035585091608724, shape=(), dtype=float64)"
453,y454,"tf.Tensor(0.044612689520558635, shape=(), dtype=float64)"
454,y455,"tf.Tensor(0.04311136013580906, shape=(), dtype=float64)"
455,y456,"tf.Tensor(0.042747589800252825, shape=(), dtype=float64)"
456,y457,"tf.Tensor(0.04088542535263535, shape=(), dtype=float64)"
457,y458,"tf.Tensor(0.04236592892990867, shape=(), dtype=float64)"
458,y459,"tf.Tensor(0.03982354562513893, shape=(), dtype=float64)"
459,y460,"tf.Tensor(0.04104540795931702, shape=(), dtype=float64)"
460,y461,"tf.Tensor(0.041880549299725886, shape=(), dtype=float64)"
461,y462,"tf.Tensor(0.04248171460099666, shape=(), dtype=float64)"
462,y463,"tf.Tensor(0.04082799577292409, shape=(), dtype=float64)"
463,y464,"tf.Tensor(0.04135359881175997, shape=(), dtype=float64)"
464,y465,"tf.Tensor(0.041654721430339436, shape=(), dtype=float64)"
465,y466,"tf.Tensor(0.04226378902319327, shape=(), dtype=float64)"
466,y467,"tf.Tensor(0.03959194068445501, shape=(), dtype=float64)"
467,y468,"tf.Tensor(0.03971291027637913, shape=(), dtype=float64)"
468,y469,"tf.Tensor(0.041626783893634986, shape=(), dtype=float64)"
469,y470,"tf.Tensor(0.04014283022752112, shape=(), dtype=float64)"
470,y471,"tf.Tensor(0.039466366734706, shape=(), dtype=float64)"
471,y472,"tf.Tensor(0.038732253721596985, shape=(), dtype=float64)"
472,y473,"tf.Tensor(0.039714356396936525, shape=(), dtype=float64)"
473,y474,"tf.Tensor(0.03901360187181554, shape=(), dtype=float64)"
474,y475,"tf.Tensor(0.039873601960845675, shape=(), dtype=float64)"
475,y476,"tf.Tensor(0.03959965809037733, shape=(), dtype=float64)"
476,y477,"tf.Tensor(0.04061795649616984, shape=(), dtype=float64)"
477,y478,"tf.Tensor(0.03981391394195861, shape=(), dtype=float64)"
478,y479,"tf.Tensor(0.039839892005007926, shape=(), dtype=float64)"
479,y480,"tf.Tensor(0.040996192765627035, shape=(), dtype=float64)"
480,y481,"tf.Tensor(0.03894306648309094, shape=(), dtype=float64)"
481,y482,"tf.Tensor(0.04268355795964276, shape=(), dtype=float64)"
482,y483,"tf.Tensor(0.0407024587911706, shape=(), dtype=float64)"
483,y484,"tf.Tensor(0.04290405289189533, shape=(), dtype=float64)"
484,y485,"tf.Tensor(0.04086323777403335, shape=(), dtype=float64)"
485,y486,"tf.Tensor(0.03956363423994579, shape=(), dtype=float64)"
486,y487,"tf.Tensor(0.040530030566579, shape=(), dtype=float64)"
487,y488,"tf.Tensor(0.04041980527417172, shape=(), dtype=float64)"
488,y489,"tf.Tensor(0.040099901756527834, shape=(), dtype=float64)"
489,y490,"tf.Tensor(0.03960767553286695, shape=(), dtype=float64)"
490,y491,"tf.Tensor(0.04017848983149008, shape=(), dtype=float64)"
491,y492,"tf.Tensor(0.04012344954557929, shape=(), dtype=float64)"
492,y493,"tf.Tensor(0.038210316834214456, shape=(), dtype=float64)"
493,y494,"tf.Tensor(0.03998095637923253, shape=(), dtype=float64)"
494,y495,"tf.Tensor(0.04088350606224299, shape=(), dtype=float64)"
495,y496,"tf.Tensor(0.04027461422493367, shape=(), dtype=float64)"
496,y497,"tf.Tensor(0.03963495312857132, shape=(), dtype=float64)"
497,y498,"tf.Tensor(0.04382283412125364, shape=(), dtype=float64)"
498,y499,"tf.Tensor(0.041885003721120084, shape=(), dtype=float64)"
499,y500,"tf.Tensor(0.041644020274652235, shape=(), dtype=float64)"
