,y,Value
86,y87,"tf.Tensor(0.038251334482008126, shape=(), dtype=float64)"
87,y88,"tf.Tensor(0.037107184955575793, shape=(), dtype=float64)"
88,y89,"tf.Tensor(0.03661976872925986, shape=(), dtype=float64)"
89,y90,"tf.Tensor(0.03798295888962018, shape=(), dtype=float64)"
90,y91,"tf.Tensor(0.0371058673232363, shape=(), dtype=float64)"
91,y92,"tf.Tensor(0.03667854550150661, shape=(), dtype=float64)"
92,y93,"tf.Tensor(0.03795630350665817, shape=(), dtype=float64)"
93,y94,"tf.Tensor(0.03887716244902254, shape=(), dtype=float64)"
94,y95,"tf.Tensor(0.03754352102997941, shape=(), dtype=float64)"
95,y96,"tf.Tensor(0.0389873569221676, shape=(), dtype=float64)"
96,y97,"tf.Tensor(0.03836797409603315, shape=(), dtype=float64)"
97,y98,"tf.Tensor(0.03891952439158807, shape=(), dtype=float64)"
98,y99,"tf.Tensor(0.03814922993529396, shape=(), dtype=float64)"
99,y100,"tf.Tensor(0.03740899726324018, shape=(), dtype=float64)"
100,y101,"tf.Tensor(0.03784801263744334, shape=(), dtype=float64)"
101,y102,"tf.Tensor(0.038298739075913454, shape=(), dtype=float64)"
102,y103,"tf.Tensor(0.037921646934049695, shape=(), dtype=float64)"
103,y104,"tf.Tensor(0.038238159404626576, shape=(), dtype=float64)"
104,y105,"tf.Tensor(0.037987425290136226, shape=(), dtype=float64)"
105,y106,"tf.Tensor(0.03825003361351272, shape=(), dtype=float64)"
106,y107,"tf.Tensor(0.036583784693463586, shape=(), dtype=float64)"
107,y108,"tf.Tensor(0.03775961173540652, shape=(), dtype=float64)"
108,y109,"tf.Tensor(0.037812292561767775, shape=(), dtype=float64)"
109,y110,"tf.Tensor(0.03636589679027953, shape=(), dtype=float64)"
110,y111,"tf.Tensor(0.037684657010976536, shape=(), dtype=float64)"
111,y112,"tf.Tensor(0.037284958173198476, shape=(), dtype=float64)"
112,y113,"tf.Tensor(0.03704120063424595, shape=(), dtype=float64)"
113,y114,"tf.Tensor(0.03763941281526938, shape=(), dtype=float64)"
114,y115,"tf.Tensor(0.03583506146450631, shape=(), dtype=float64)"
115,y116,"tf.Tensor(0.037811162523011366, shape=(), dtype=float64)"
116,y117,"tf.Tensor(0.03664541615787861, shape=(), dtype=float64)"
117,y118,"tf.Tensor(0.03650649212954707, shape=(), dtype=float64)"
118,y119,"tf.Tensor(0.0362492952869004, shape=(), dtype=float64)"
119,y120,"tf.Tensor(0.0377577801332918, shape=(), dtype=float64)"
120,y121,"tf.Tensor(0.03717941525439225, shape=(), dtype=float64)"
121,y122,"tf.Tensor(0.036832459178667565, shape=(), dtype=float64)"
122,y123,"tf.Tensor(0.037443092636308795, shape=(), dtype=float64)"
123,y124,"tf.Tensor(0.036825278278324144, shape=(), dtype=float64)"
124,y125,"tf.Tensor(0.03652748994160753, shape=(), dtype=float64)"
125,y126,"tf.Tensor(0.03455572170775419, shape=(), dtype=float64)"
126,y127,"tf.Tensor(0.03666701070959696, shape=(), dtype=float64)"
127,y128,"tf.Tensor(0.03527913282226956, shape=(), dtype=float64)"
128,y129,"tf.Tensor(0.03532584257353273, shape=(), dtype=float64)"
129,y130,"tf.Tensor(0.03434774794646828, shape=(), dtype=float64)"
130,y131,"tf.Tensor(0.03391465548015482, shape=(), dtype=float64)"
131,y132,"tf.Tensor(0.03443739991410225, shape=(), dtype=float64)"
132,y133,"tf.Tensor(0.032569348132013856, shape=(), dtype=float64)"
133,y134,"tf.Tensor(0.03195323230585521, shape=(), dtype=float64)"
134,y135,"tf.Tensor(0.03316966753038732, shape=(), dtype=float64)"
135,y136,"tf.Tensor(0.033417382148816385, shape=(), dtype=float64)"
136,y137,"tf.Tensor(0.03340925277713794, shape=(), dtype=float64)"
137,y138,"tf.Tensor(0.0348254090995115, shape=(), dtype=float64)"
138,y139,"tf.Tensor(0.035740859679358326, shape=(), dtype=float64)"
139,y140,"tf.Tensor(0.03549147092402508, shape=(), dtype=float64)"
140,y141,"tf.Tensor(0.036092804733850486, shape=(), dtype=float64)"
141,y142,"tf.Tensor(0.0364910240744732, shape=(), dtype=float64)"
142,y143,"tf.Tensor(0.03584463776592568, shape=(), dtype=float64)"
143,y144,"tf.Tensor(0.035632212920969256, shape=(), dtype=float64)"
144,y145,"tf.Tensor(0.036266813071850305, shape=(), dtype=float64)"
145,y146,"tf.Tensor(0.03627883057154558, shape=(), dtype=float64)"
146,y147,"tf.Tensor(0.036267211250030545, shape=(), dtype=float64)"
147,y148,"tf.Tensor(0.035953609090385176, shape=(), dtype=float64)"
148,y149,"tf.Tensor(0.0351453654226867, shape=(), dtype=float64)"
149,y150,"tf.Tensor(0.03435873667030781, shape=(), dtype=float64)"
150,y151,"tf.Tensor(0.03519240204187982, shape=(), dtype=float64)"
151,y152,"tf.Tensor(0.03521237140548267, shape=(), dtype=float64)"
152,y153,"tf.Tensor(0.033273932917595415, shape=(), dtype=float64)"
153,y154,"tf.Tensor(0.03462504177764533, shape=(), dtype=float64)"
154,y155,"tf.Tensor(0.033852431944938255, shape=(), dtype=float64)"
155,y156,"tf.Tensor(0.03311595497112707, shape=(), dtype=float64)"
156,y157,"tf.Tensor(0.03396530957106618, shape=(), dtype=float64)"
157,y158,"tf.Tensor(0.032833130336892946, shape=(), dtype=float64)"
158,y159,"tf.Tensor(0.03326417722159945, shape=(), dtype=float64)"
159,y160,"tf.Tensor(0.03395782899366223, shape=(), dtype=float64)"
160,y161,"tf.Tensor(0.034849692339552436, shape=(), dtype=float64)"
161,y162,"tf.Tensor(0.03533792497043044, shape=(), dtype=float64)"
162,y163,"tf.Tensor(0.03537758367009028, shape=(), dtype=float64)"
163,y164,"tf.Tensor(0.03513974522664625, shape=(), dtype=float64)"
164,y165,"tf.Tensor(0.03600783745423678, shape=(), dtype=float64)"
165,y166,"tf.Tensor(0.03482798074343642, shape=(), dtype=float64)"
166,y167,"tf.Tensor(0.03513538657631913, shape=(), dtype=float64)"
167,y168,"tf.Tensor(0.034244937856067845, shape=(), dtype=float64)"
